sim_start	formation_aircraft_count	formation_success_rate	formation_count	distance_penalty	hub_delay_sum	fuel_delay	config_phi_max	distance_success_rate	sim_finish	Q_avg	config_etah_slack	fuel_saved	fuel_direct	config_Z	fuel_saved_disregard_delay	distance_total	config_count_hubs	distance_solo	fuel_actual	alpha_effective	Q_sum	avg_formation_size	config_alpha	hub_delay_avg	distance_direct	config_lock_time	aircraft_count	distance_formation
0	511	0.9605263157894737	71	0.023977644475813964	17577.161915670436	2300509.9587476295	15	0.5347595785917515	1989	0.7552463313853944	46.666666666666671	-0.033431762392360564	30155441.90963543	0.2	0.04285662249158162	1957912.9228525911	10	910900.2333085949	28863081.519647364	0.04554110074111373	385.9308753379365	7.197183098591549	0.13	34.39757713438441	1912066.082121226	14.111111111111111	532	1047012.6895439961
0	513	0.9642857142857143	70	0.023080912520396346	19092.005785939436	2506002.5372359026	15	0.5338780295288209	1988	0.7523462856801082	53.333333333333336	-0.03964506726729322	30155441.909635417	0.2	0.04345776189188333	1956198.3120958833	10	911827.0118665278	28844953.89538196	0.04632323131835038	385.9536445538955	7.328571428571428	0.13	37.21638554764023	1912066.0821212262	14.111111111111111	532	1044371.3002293556
0	510	0.9586466165413534	67	0.02400592592108941	21092.885149667192	2784922.577329392	15	0.5324370270306414	1993	0.7531496252470344	60.0	-0.049780426695760216	30155441.909635425	0.2	0.04257181226909268	1957966.998844855	10	915472.8709557928	28871670.097766895	0.045210887592893975	384.10630887598757	7.611940298507463	0.13	41.35859833268077	1912066.0821212253	14.111111111111111	532	1042494.127889062
0	103	0.19360902255639098	50	0.007472583670946387	15.614443165167867	1221.2616906659448	15	0.10532018505972104	1983	0.7436882635752399	0.0	0.005470635918833677	30155441.909635417	0.2	0.005511134801069351	1926354.1559042549	10	1723470.179713856	29989251.2042856	0.006219040386817349	76.59989114824971	2.06	0.13	0.15159653558415404	1912066.0821212253	20.666666666666664	532	202883.97619039885
0	440	0.8270676691729323	133	0.016383450444136916	1961.6555723364188	208042.4900625151	15	0.4515852652241908	1982	0.7380298244082985	6.666666666666667	0.032116954178867285	30155441.909635417	0.2	0.03901595737324737	1943392.3220235736	10	1065784.984847902	28978898.473517645	0.04232263403500789	324.7331227396513	3.308270676691729	0.13	4.458308118946406	1912066.0821212255	20.666666666666664	532	877607.3371756715
0	482	0.9060150375939849	105	0.018675592133998498	5139.317342119774	611002.98957019	15	0.4968899419689571	1994	0.7371056155053539	13.333333333333334	0.022281764792229763	30155441.909635413	0.2	0.04254354677510164	1947775.0484041744	10	979945.2176340416	28872522.45622898	0.04592010032196593	355.28490667358056	4.59047619047619	0.13	10.662484112281689	1912066.082121226	20.666666666666664	532	967829.8307701328
0	496	0.9323308270676691	90	0.023267664201577	7839.533472184948	975389.6968457208	15	0.5150902295915832	1987	0.7433765737099001	20.0	0.00869233916664025	30155441.90963541	0.2	0.04103773472637373	1956555.3936512475	10	948752.8267267758	28917930.88399122	0.04369406564532882	368.71478056011046	5.511111111111111	0.13	15.805511032630942	1912066.0821212258	20.666666666666664	532	1007802.5669244715
0	506	0.9511278195488722	79	0.025729258507127373	11391.887402273336	1461223.4386504914	15	0.53012634702583	1992	0.7538769273329445	26.666666666666668	-0.0075769385500594755	30155441.909635413	0.2	0.04087943768310054	1961262.1246308326	10	921545.3989401711	28922704.401284114	0.04318716660623052	381.46172523046994	6.405063291139241	0.13	22.513611466943352	1912066.0821212253	20.666666666666664	532	1039716.7256906613
0	508	0.9548872180451128	78	0.024114420170026296	12083.770570119279	1554715.048155504	15	0.5306980941700707	1993	0.7559128612029019	33.333333333333336	-0.009277091603350218	30155441.909635425	0.2	0.042279607609163605	1958174.4470183519	10	918974.9999331803	28880481.658415113	0.0448763320720829	384.0037334910742	6.512820512820513	0.13	23.78694994117968	1912066.0821212248	20.666666666666664	532	1039199.4470851716
0	509	0.956766917293233	78	0.021777796621105683	14920.618627740905	1920392.0776828332	15	0.5246369510243658	1981	0.7437275438482663	40.0	-0.02028923992060494	30155441.90963543	0.2	0.043393861903521125	1953706.6683837755	10	928719.9586869398	28846880.827769056	0.04642500701206187	378.55731981876755	6.5256410256410255	0.13	29.313592588881935	1912066.082121225	20.666666666666664	532	1024986.7096968357
0	507	0.9530075187969925	74	0.021848992111938026	15741.58118806899	2043486.9969900372	15	0.5257607853565223	1988	0.7476549363665358	46.666666666666671	-0.024276545401978655	30155441.909635417	0.2	0.04348856986688743	1953842.7988669968	10	926588.874471499	28844024.867281374	0.046499909984409865	379.0610527378336	6.851351351351352	0.13	31.04848360565876	1912066.0821212258	20.666666666666664	532	1027253.9243954978
0	509	0.956766917293233	74	0.021564295682233503	18728.35501924881	2432846.4319700026	15	0.5280194693961338	2000	0.74965132322129	53.333333333333336	-0.03665896054106543	30155441.909635425	0.2	0.04401790167373265	1953298.4404800572	10	921918.8343654819	28828062.632729135	0.04707823533926389	381.5725235196366	6.878378378378378	0.13	36.794410646854246	1912066.082121225	20.666666666666664	532	1031379.6061145754
0	505	0.9492481203007519	70	0.0223051223783044	19560.674576435573	2561092.6791958814	15	0.5237721784401604	2000	0.7462316795339352	60.0	-0.04207105632975461	30155441.909635413	0.2	0.04285864514404636	1954714.9500783444	10	930889.6424462604	28863020.525668446	0.04578526081891646	376.8469981646373	7.214285714285714	0.13	38.73400906224866	1912066.0821212255	20.666666666666664	532	1023825.3076320839
0	60	0.11278195488721804	30	0.006756487763907693	9.49304890789621	721.471717000112	15	0.059370321617861245	1996	0.7230283812870748	0.0	0.0007001133797416292	30155441.909635417	0.2	0.0007240384715762049	1924984.933208861	10	1810697.9586147137	30133608.20956546	0.0009616540464142693	43.38170287722449	2.0	0.13	0.15821748179827017	1912066.082121226	27.222222222222221	532	114286.97459414722
0	441	0.8289473684210527	125	0.014722972084349584	2195.338021313895	239107.6549654172	15	0.45186837716809153	1981	0.7386603288003565	6.666666666666667	0.03250300786787219	30155441.909635417	0.2	0.04043217885073924	1940217.3776717284	10	1063494.4998698742	28936191.68902196	0.04401991694750232	325.7492050009572	3.528	0.13	4.978090751278673	1912066.082121226	27.222222222222221	532	876722.877801854
0	483	0.9078947368421053	106	0.01909401616167039	4743.912043281342	562826.3679672754	15	0.4989454965822729	1982	0.7421854065025381	13.333333333333334	0.023801078316063262	30155441.90963542	0.2	0.04246525076141672	1948575.1027954295	10	976342.3305033107	28874883.507121418	0.04576889839402509	358.4755513407259	4.556603773584905	0.13	9.821764064764684	1912066.082121225	27.222222222222221	532	972232.772292119
0	495	0.9304511278195489	95	0.02072536444995987	7195.972094013108	883868.8955878726	15	0.5064814726373899	1999	0.7372189893281251	20.0	0.012736256367667065	30155441.90963541	0.2	0.04204668392619859	1951694.3485255954	10	963197.3207462806	28887505.575006127	0.045117226992900814	364.92339971742194	5.2105263157894735	0.13	14.537317361642643	1912066.082121226	27.222222222222221	532	988497.0277793148
0	497	0.9342105263157895	84	0.023159148680556463	9820.618598024108	1240440.951930707	15	0.5127718365046091	1989	0.742310339231564	26.666666666666668	-0.00027472548806461994	30155441.909635417	0.2	0.04086017001928177	1956347.9048041198	10	953187.7968157673	28923285.42620114	0.04350119006504273	368.9282385980873	5.916666666666667	0.13	19.759795971879495	1912066.0821212253	27.222222222222221	532	1003160.1079883527
0	505	0.9492481203007519	82	0.023297587299716316	12202.6319351712	1553624.5998094408	15	0.5343716698306546	1986	0.7602512419146862	33.333333333333336	-0.00820281588692695	30155441.909635417	0.2	0.0433177224114365	1956612.6085922709	10	911054.261727106	28849176.847799633	0.04617072977826879	383.92687716691654	6.158536585365853	0.13	24.163627594398417	1912066.082121225	27.222222222222221	532	1045558.3468651649
0	504	0.9473684210526315	78	0.021717252858599156	13855.740703820235	1780132.781852714	15	0.526348152000506	1997	0.7484598235038951	40.0	-0.015382278450973175	30155441.90963541	0.2	0.04364961327812533	1953590.9047090034	10	925321.9422504229	28839168.53204885	0.04670800690146662	377.2237510459631	6.461538461538462	0.13	27.491549015516338	1912066.0821212255	27.222222222222221	532	1028268.9624585805
0	502	0.943609022556391	74	0.0217069527346494	15667.843795342915	2030452.6811749577	15	0.5254467123501231	1985	0.7496194698304036	46.666666666666671	-0.02380045862768787	30155441.90963543	0.2	0.04353241904193694	1953571.2101913565	10	927073.6404544569	28842702.576030392	0.0466011198708666	376.30897385486264	6.783783783783784	0.13	31.21084421383051	1912066.0821212248	27.222222222222221	532	1026497.5697368995
0	507	0.9530075187969925	77	0.02353508070078436	16820.144907574253	2168372.1324636154	15	0.5331613661832857	1983	0.7555745489078267	53.333333333333336	-0.028919673489924635	30155441.909635417	0.2	0.0429868214956709	1957066.711669181	10	913634.34996381	28859155.311142847	0.045775896903042776	383.07629629626814	6.584415584415584	0.13	33.17582822006756	1912066.0821212255	27.222222222222221	532	1043432.361705371
0	504	0.9473684210526315	73	0.02349099922929443	19011.304533788167	2471167.82265383	15	0.5277688642704547	1986	0.7520062950932239	60.0	-0.03957781025055129	30155441.909635417	0.2	0.0423698471593118	1956982.4249826944	10	924148.0331523374	28877760.44490266	0.04511895312586468	379.01117272698485	6.904109589041096	0.13	37.72084232894478	1912066.0821212246	27.222222222222221	532	1032834.3918303569
0	80	0.15037593984962405	38	0.007244522546482113	16.786148450121708	1339.5346463197122	15	0.08440021764354538	1986	0.7435865184378474	0.0	0.003144005935575067	30155441.90963542	0.2	0.0031884269276578614	1925918.0879635161	10	1763370.1821757546	30059293.486635316	0.0037275057471787866	59.48692147502779	2.1052631578947367	0.13	0.20982685562652134	1912066.082121225	33.777777777777779	532	162547.90578776156
0	441	0.8289473684210527	127	0.017083789713142394	2050.0879940908167	221874.37592282653	15	0.44963181892518833	1990	0.7411207697781298	6.666666666666667	0.030852525099861028	30155441.909635425	0.2	0.03821021452081863	1944731.4169858168	10	1070318.292645525	29003196.00529817	0.04136834674713209	326.8342594721552	3.47244094488189	0.13	4.6487256101832575	1912066.0821212258	33.777777777777779	532	874413.1243402917
0	483	0.9078947368421053	109	0.018587228006656353	4983.528443686778	586549.9481712338	15	0.4992925071949916	1993	0.743507788143269	13.333333333333334	0.02346805779957195	30155441.909635413	0.2	0.042918939996188565	1947606.090353407	10	975180.9624726191	28861202.30775722	0.04632079792869255	359.11426167319894	4.431192660550459	0.13	10.317864272643432	1912066.0821212255	33.777777777777779	532	972425.1278807878
0	499	0.9379699248120301	101	0.022135721646902473	7388.286498143212	895714.9899632699	15	0.5187488788397712	1988	0.7525354383877557	20.0	0.012697182946592167	30155441.909635413	0.2	0.042400444886755206	1954391.0446855447	10	940552.8814404294	28876837.756910168	0.045301632602267786	375.5151837554901	4.9405940594059405	0.13	14.806185367020465	1912066.0821212258	33.777777777777779	532	1013838.1632451153
0	498	0.9360902255639098	90	0.023012126673592093	10151.437388428041	1264159.7210456897	15	0.5144042145560567	1993	0.7470260666759476	26.666666666666668	-0.0007740314947557447	30155441.909635402	0.2	0.041147414220876644	1956066.7890112777	10	949857.7887907436	28914623.45036605	0.04386042121869528	372.0189812046219	5.533333333333333	0.13	20.38441242656233	1912066.0821212253	33.777777777777779	532	1006209.000220534
