"Airport Report",,,,,,,,,,,
,,,,,,,,,,,
"Code","Name","City","State","State Name"," Latitude "," Longitude ","Country","Country Name","Global Region","WAC","Notes"
"AED","Aleneva, Ak","Aleneva, Ak","AK","Alaska",58.03,-152.90,"US","United States","North America",1,
"AEE","Adareil","Adareil","  "," ",-10.06,32.97,"SD","Sudan","Africa",583,
"AEG","Aek Godang Airport","Aek Godang","  "," ",1.40,99.42,"ID","Indonesia","Asia",732,
"AEH","Abecher Airport ","Abecher","  "," ",13.85,20.85,"TD","Chad","Africa",511,
"AEI","Algeciras Railway Station","Algeciras","  "," ",36.13,-5.45,"ES","Spain","Europe",482,
"AEK","Aseki Airport","Aseki","  "," ",-7.37,146.28,"PG","Papua New Guinea","Australasia",804,
"AEL","Albert Lea Airport","Albert Lea","MN","Minnesota",43.65,-93.37,"US","United States","North America",63,
"AEO","Aioun El Atrouss","Aioun El Atrouss","  "," ",16.71,-9.64,"MR","Mauritania","Africa",545,
"AEP","Jorge Newbery","Buenos Aires-Newbery","BA","Buenos Aires",-34.56,-58.42,"AR","Argentina","South America",303,
"AER","International","Sochi","SF","Southern Federal District",43.45,39.93,"RU","Russian Federation","Europe",475,
"AES","Vigra ","Aalesund","  "," ",62.56,6.11,"NO","Norway","Europe",465,
"AET","Allakaket ","Allakaket","AK","Alaska",66.56,-152.66,"US","United States","North America",1,
"AEU","Abu Musa Island","Abu Musa Island","  "," ",25.89,55.04,"IR","Iran","Middle East",632,
"AEX","Alexandria Intl Airport","Alexandria","LA","Louisiana",31.33,-92.55,"US","United States","North America",72,
"AEY","Akureyri","Akureyri","  "," ",65.66,-18.07,"IS","Iceland","Europe",439,
"AFA","San Rafael","San Rafael","MD","Mendoza",-34.59,-68.40,"AR","Argentina","South America",303,
"AFD","Port Alfred Airport","Port Alfred","  "," ",-33.58,26.88,"ZA","South Africa","Africa",562,
"AFF","United States Air Force Academy Airport","Colorado Springs","CO","Colorado",38.83,-104.70,"US","United States","North America",82,
